Feature,Importance
WeekOfYear,0.35215538326776313
LOF_Flag,0.13631381506169596
Sales_Lag_1,0.13399048723184903
Sales_Lag_4,0.0702860198561946
Mean_Temperature,0.040160289261151505
Rolling_Std_4,0.037344961313220564
Anomaly_Vote_Count,0.03310654269378887
Month,0.03149079627608494
Sales_Lag_13,0.030177132585299752
Rolling_Mean_13,0.02640936356284456
Rolling_Mean_4,0.019173804309999994
Rolling_Std_13,0.01566168901661716
Sales_Lag_2,0.015542202944774638
Time_Index,0.013029958102063385
Mean_Total_MarkDown,0.01035437163302597
Mean_Unemployment,0.009674926480733858
Anomaly_Flag,0.006030124753679118
Mean_Fuel_Price,0.0055508267208457356
Mean_CPI,0.004938160867556558
IsolationForest_Flag,0.003560919729656402
OneClassSVM_Flag,0.0035370299792736697
Year,0.0007594690386856628
Holiday_Week,0.0005867289743385505
Quarter,0.00016499633885639858
